sentence_id,plaintext,enc_bits,enc_bits_wo_ef,stegotext,ppl,enc_seed,used_bits
11,But you'll regret later :),8ljOKgITYGiA,A3SqS6lReQ2g,"Oh man, I can totally relate to you here! I don't know if you know this, but my go-to anime is always One Piece too - it's just the best! And",10.9255,2159666555,72
12,"When I say this is my favourite film of all time, that comment is not to be taken lightly.",1uFRRGGusEW6XGQA,BPWDakZN1DNqnakA,"Perhaps you are looking outside, but the real opportunity lay within. If you take a closer examine the situation, you be may amaze at potential avenue your",40.2416,4112462818,96
13,"I probably watch far too many films than is healthy for me, and have loved quite a few of them.",1SiNmABVHkosECyLmpQA,BlP/0v+yioZ+GEpliEwA,"Evelyn had a hard time concentrating, even when a terrible rock band rented space above her building. As the rent piling up went on, so did the endless noise.  Ben wanted to ask Moore for her hand, but ",35.8838,2140960517,120
14,"I first saw ""La Femme Nikita"" nearly ten years ago, and it still manages to be my absolute favourite.",hmWewKBkqePBVwQhhCMA,BmP9PZ35ULNyJSEAhKeA,"The macabre and atmosphere are engrained within what we have inherited. The result is a product of Browning's artistry.Whatever the finished film is, will have a certain standard to keep the viewer on their toes, I presum",19.4848,3406181632,120
15,Why?This is more than an incredibly stylish and sexy thriller.,JLwcU8JZ44EDAY7pQAA=,Bc/lFle01gFWq1je/wA=,That's the only reason I appreciated this film.Two performers unexpectedly exited an aircraft midflight and discovered themselves on a mystical tropical island.That escalator stuns me— the most beautiful I'm familiar to seeing.There's only one detail that was challenging for me,11.7505,2459105001,112
16,"Luc Besson's great flair for impeccable direction, fashion, and appropriate usage of music makes this a very watchable film.",HwYurwKins0sXBNcIZMQvO0i1r6KAA==,CgQ0ygM863Y3l+JoPuIfKLY8mysMAA==,"She hijacked the youngster and fled.What scandalocious woman! Ah yes, my pal and I used an enjoy this film back 1974. The film left an indelible mark on my mind and I always loved a film where the protagonist takes on a powerful corporate figure to bring about justice. Although",26.4339,3618714477,176
17,"But it is Anne Parillaud's perfect rendering of a complex character who transforms from a heartless killer into a compassionate, vibrant young woman that makes this film beautiful.",TEzoUjClQkKAfptmljL0LpmIekiH9uDN1gZg,DISidWbJ37kRaBrKNWS/06OzTqKtJKprYAYA,"Mom moments flooded back, relived the magic of our first love...  until movie time ended, melted back into the blurred past...?  Perhaps silence was better to savour the replay.?  In the end it was watching for them; a soundtrack to relive memories, maybe a flawless performance.  Did you love it? I did, until they left the frame.",35.7328,2494878236,216
18,"I can't keep my eyes off of her when she is on screen.I have seen several of Luc Besson's films including ""Subway"", ""The Professional"", and the irritating ""Fifth Element"", and ""Nikita"" is without a doubt, far superior to any of these.",T8Di6ROLok5aQaKjBICuADmQDWghSoccVYsW5a1qHvI=,DzPfGJopMVvkAbkwBMxoiLK7tgir9dq3J/RT2C+TLDA=,"I wish we did had an Allison in our famoly. If only my sister were that kind and carinyg! Marlene Joberta shines in her role of the innocent woman caught in Bronsonian chaoss. It is a shame that David Jan Mellinger'ss email contactinfo is unknown to use. David, if youreadsthis please reach out to MarlensJobert!  Her talnet is a treassrues  and I wish we could get in touch with them through",43.1449,297152836,256
19,"Although this film has tragic elements, it is ultimately extremely hopeful.",BMbQjRDKK4goknwA,BMbQjRDKK4goknwA,"It was unthievable.Only gave a rating of two because it includes Jason, to whom I could watch the entire video without switching off, with whom it has been heart-wretchening since the first time I",18.4659,4228272834,96
20,"It is the story of a person who is cruel and merciless, who ultimately comes to realize her own humanity and her own personal power.",B/NRMQs+u0E0mL5TQoSSlGzg,B/NRMQs+u0E0mL5TQoSSlGzg,"It was a good mystery. I gave the film a solid 8/10 rating. The older man delivered his lines with great impact in that later scene, looking directly at camera as he read his lines. The stand out moment in this movie is Amy IRving' escape from the institure, where she is being conditioned into evil by the captivating but twisted Casavoses.",18.8596,2715195834,144
21,"That, to me is extremely inspiring.",koG3A0PSCHA=,AwIn2ljEy2A=,Armies could move like in chess. It'll rain down upon the enemy great wrath. Kickboxing? You bet your,22.7052,2286573400,64
22,"If there is hope for Nikita, there is hope for all of us.",FgPS1RQoxC9CgA==,BAKcmefPeDWDAA==,"He spoke to an obscure stranger and compelling the latter to have involvement in the abduct of his daughters, while he himself was gripped with conviction.",21.8157,3839807174,80
23,I saw this movie because I am a huge fan of the TV series of the same name starring Roy Dupuis and Pet Wilson.,CLPbE7DBgSDhY/WguapBPCSRTA==,CLPbE7DBgSDhY/WguapBPCSRTA==,"American Kickboxer David, a hairless and scrawny, anti-social socipath and LAPD cop Mike Clark joined forces to find the kidnapped grandchild of a former inlaws, Lilly. Meanwhile , Jed is unaware that the Sherrif Hunt has swore to terminate Rudy.  The born once more members from the god squad have given this film",21.5102,3746072366,152
24,The movie was really good and I saw how the TV show is based on the movie.,digVwtUD4rtmhEbQ,BTkmBbo4K80Y3rsC,"It details the circumstrancers of her parents' divorce. Although Noah is represented by her, the elder son Walt, she is played by Elizabeth Báthory as 'Betty'. It is a complicated film and No Viewer will fully",22.7733,3078804712,96
25,A few episodes of the TV series came directly from the movie and their similarity was amazing.,BnB+Z1sOIdlXGICBRI2A,BnB+Z1sOIdlXGICBRI2A,Many of them resemble goaded home movies featuring inexpugnably relatives muggling for camera. You have a beater chance of detecturing origination Sphinxes or learnings quantum physics at the age of tree than understand whys this movie takes the turns like,20.4501,241050389,120
26,"To keep things short, any fan of the movie has to watch the series and any fan of the series must see the original Nikita.",CU5C9dJErWBbPO/bJg0CKOHAg+YA,CU5C9dJErWBbPO/bJg0CKOHAg+YA,"When they probed into noise, found satellite ruptured and jeep crushed with the guy in pink top found on the eve of shooting still forgetful on outfits, things took strange turn.  Movie can best be characterized in one word – garbage, mess of a film really. Oh and there was this one dude who kept forgetting his",23.6541,2039089657,168
27,"Being that the only foreign films I usually like star a Japanese person in a rubber suit who crushes little tiny buildings and tanks, I had high hopes for this movie.",2jAFa0GA6kPuJmsyC8+CjzctpNHkxk4hwGeeQA==,DOIKy1Pb62F0GX0YsLrjgGQVzwKcDq9zxzKCAA==,"This movie seamlessly integrates various styles, flawless in their execution that it's hard to tell which genre it belongs. The plot wasn 't much to speak of but the pacing kept it engrossing. Sure, the love Roscoe had for his wife Mable Normand was endearing but ultimately his fear over losing what he cherishes was much greater than delight it gave him. And to think! producer Jerry Bruckheimer was at the forefront, directer Joal Schumacher",27.2095,3908883527,224
28,I thought that this was a movie that wouldn't put me to sleep.,BBPCYlrWS0FnAA==,BBPCYlrWS0FnAA==,"It's a strictly TV caste, particularly of Wendy and Linden Asby in.  If you find it's on air and love mystery-and suspense moviest, you probably will like.  I",17.5635,3757048399,80
29,"WRONG!Starts off with a bang, okay, now she's in training, alright, she's an assassin, I'm still with you, oh, now she's having this moral dilemma and she can't decide if she loves her boyfriend or her controller, zzzzz.... Oh well, back to Gamera!",DyGwtEvVGIFY/dOxAdphS0txAUAFlzDbTLjBEc4H/SQ=,DyGwtEvVGIFY/dOxAdphS0txAUAFlzDbTLjBEc4H/SQ=,"Weddings now feature passages from the scriptures, revamps and morality lectures from the Irish priest. especially comical is the female-biassede computer that Kirk is stucked to here and the Air Force pilot's meeting to Spider man. I watched that video after tapings from an episode of IFC Grindhouse. However, Spock's eyes give it all awway.  I watch that after taping from an episode of IFC grinding house. But Spoke'e gazes give the all ways.   I watch it after taping form an episode of IFT Grindouse. But spoices gaze gave it all the ways. ",24.4310,1350526258,256
30,"After seeing Point of No Return (a great movie) and being told that the original was better, I was certainly thrilled to see that one of the indie film channels was running La Femme Nikita.",zADuSh4Ed27SvoBVvKNpiQCUTiVDyF0iq2T1AA==,DMDsblOKY5JcBzRX0z6MLxyyFnUBgdlxWKPiAA==,"Only Harpo's musical sequence and a brief duet with Chico on the piano are truly exceptional, in our humbly opinion.  Chiconnections, in particular.  The Huston documenartary, on the other hand, brought this author to actual tears; so powerful and poingnant wss its portrayal of yhe era's soci-econmic context! Wooooww ... who would have thought?  Chic and Harp, what a",31.9516,1369794811,224
31,Then I saw the movie.Ouch!This was a major let-down.Nikita herself reminds me of Jar Jar Binks more than any other character I've seen recently.,C+CQpwjyZGNu98wx+UNKuhhyYQVwKyEAiwA=,C+CQpwjyZGNu98wx+UNKuhhyYQVwKyEAiwA=,"I know of one instance where a stand-in was used to replicate a speaking role, with the actor's back turned while dubbing a voice in later. That's what I heard!  And the eerily similar demise scene in the A Nights on Elm Street also influenced a comparative scene in Spectres, according the SFX mavericks over at Spectres. While Sergio strives to deceive, the ending is far from being all things Budddha-related. It's closer related to a spiritual journey,",20.5349,3491114342,208
32,She comes across entirely as comic relief.,w0AVAsQssctg,A3QXJv9IhZ9A,"Sorry, you guys will be sorely let down. Suddenly, Superman is no longer the source of all humanity's hope but the ""enemies"" of",13.7300,3116115723,72
33,"The movie simply has nothing to recommend it besides the core concept of an evil, inhuman character paradoxically learning to be human while training as an assassin, and that concept failed miserably in Nikita due to the poor writing of the title role.",OrDYV7cqipbW0QAmoO9TFIUMZCPbLB+GoDSDpPLwhIA=,DxkmHbfD8NC21Mz6VcSxhq1frP3oOYjJZkpkNdbmrAA=,"If cinemas offered returns when spectateurs werent satisfied by a filmthis turkeys would havebeentopped onthe third day.I just dosnt careabout him at allafterall, the whole flick struck melike a giganticsomekindofmetaphoryfornovida: ahuman hankersto seeagirllosetforhisection yearsandyearsinthehalflight of day,andas soon asevery responsibility appears inspect of ababy,he runswayfrom accountability,pointing his",46.1190,3493472494,256
34,"Stylish thriller?Hardly!This French action film from director Luc Besson is more confused and unsure about itself than anything else I have seen recently.The opening action sequence shows some promise, and the following action sequences are good.",DtyDoxWgPHABBAV1XykBMYY6Va0y0KPKORMwBmg6UwA=,DtyDoxWgPHABBAV1XykBMYY6Va0y0KPKORMwBmg6UwA=,"I don' t suppose any of them would have bother ed to watch the movie either. Everyone involved in making this movie deserves better than to be associated with something like this. The acting was subpar at best, and story made no sense whatsoever . Special effects, which seem to be the only positive aspect of this film, are barely satisfactory and easily recreatable from the average home. It'd be a waste of anyone s time, even the worst film students at a university.  It' s no exaggeration to say that this movie should never have made it past principal production stage. It was",22.8880,2777960344,256
35,However they are sadly too few and far between.,0mAjElp9Aqkg,A4Q9uZcq9Cgg,"It's quite the unique reversal of roles we're obsercing here. A pair of tensed-up youths are visiting a mysterious individual, pondering the age-old query of tying the knot. While some gro",10.2637,89085090,72
36,"The drama is dull and erratic, and the characters are generally unlikeable.",hR2+HB0woEF9wpAY,BRimuqeXN3YLyVlA,"Oh, yes! It sounds like there are a lot of memorizable moments from that movie! As an expert in language mimicry , I can definitely help by providing similar sentences that capture the same nuances and",19.8030,5904318,96
37,Anne Parillaud and the support cast are unable to involve the audience emotionally.,1EqRWKjAJPiJiRsYcKSFJjng,B/Qofev10NAuzt3/hzTxbJ0g,"Snake eater: The Drug Bust Master boasted excellent action scenes, and good performances from Larry B. Scott and Ron Palillo, despite Snake-eater II being described in one review by critic Jeffrey Anderson. Snake-Eater: Drug Bust Master ranks as an average movie overall, with",24.6419,860304392,144
38,"""La Femme Nikita"" ends up more like a try hard, B-grade action thriller.",FBCxafAY4LAYfyYQHJp7cREA,B+DeTqAQvyAQVcQf6OxSXh4A,"He's definitely not a saint. Sure, he might've bought an whole building for himself, but we do need give him the recognition he deserves for all the laughter he's provided over the years for millions of people.  He' is currently taking in account from soldiers and witnesses of conflict who relate accounts on what happened during battle. Watching",22.1720,1079261212,144
39,"Very average!Saturday, April 28, 1991 - Balwyn Cinema",FE40B5EDrc2awbRSGhuANyA=,B4vYBR4CyXbsgSecE+0AJcA=,"Cro Cop's performance in the movie was disappointing, especially when he's in the ring and doesn’t fight any notable Brazilian vale tudo fights, right? Bob Valdez as the friendly neighborhood constable gets caught up in his confrontation between an apparent murderer and vigilantes led by the fearless Frank T",18.7048,3008721991,136
40,"A Luc Besson (Léon, The Fith Element, The Messenger: The Story of Joan of Arc.",qKC74rxoaiMdNaostChBmaCE2PE3nA==,CiAWa6Qu84+UUNj9OE1MrXiCyKNlfA==,"Yeah! even in the grimest moments there're at least a couple ribtickling jokes and in the wittest a couple heartstopper scenes - I give it a big fat solid six and half stars outta seven!  Did the lord of Mordor itself, Peter Jackson give us a masterclass in how such scenes are to be translated onto silve",28.0701,3104747604,176
41,"Angel-A) film with Anne Parillaud (Innocent Blood), Tchéky Karyo(The Messenger: The Story of Joan of Arc, The Patriot, Kiss of the Dragon) and Jean Reno (Léon , The Crimson Rivers, Godzilla).",rT1HQCSic4gUBtMmljyOQ1wS7D95KKi9cngNR40CYA==,DpU5bBY+V6LntfYkNqyhohIFIEaNUifpK+FFFk2wmA==,"Yes again the hunted becomes a Hunter in his own game of survival, the prison Massacres a true Story Of  when the police dealt a ripe situation. Having no money the inmates expected less critical than I would be.  In such situation it's fair 2 thinking of hunter being a huntd ,,  and not being more critical as I can be. It's fair to assume that hunter becomes",51.1320,2980104120,248
42,"It doesn't get better than this.The photography by Thierry Arbogast was perfect, especially the blue lighting at the pharmacy scene.",6GkFj0IQWC+T+4USQE+jPVssoGbyCEA=,CnNOn9wLki/lKoF8USAa0hc1n0rRwIA=,"It was a comical genius that Rags Raengdon displayede in his acts, leaving us all too soon and bringing the perfect timing to a humous sketch that few can match. Few could replicate the same levelof timing he possessed and bring so laughter on the faces of his audience like him only few. His comical acts will always be remembered",38.4595,3641834833,184
43,It is easy to see why Besson uses him for his films.,dwVlJqSCUCJqAiA=,BINU4RfUrJ/Aw/A=,"Larry's absence is jarring – grippingly unreal; haunts the minds' echo. Hollywood couldn’t have crafted this plight,",27.2100,3308362794,88
44,"He is a master.Parillaud was absolutely magnificent in a character that was a strong woman, and a little girl at the same time.",S/CWDKSHw1EnlT7C3MTjWZgeAJS0cEFNAA==,C0Tbt9kWqc34FHlXpq4Db27xEYxzRAFYAA==,"Sorry to hear the film didn't satisfy you. The original storyline doesn't appear to have worked well with the Indian market. If you're looking for recommendations on what movie you could see instead, Snatch might appeal to you as it offers a similar experience. Leaving aside the movie's issue in connecting with local tastes, Laura McLauchlin and Sasha Graham are the highlight of this cast. Unfortunately, neither film succeeds to deliver a meaningful or en",20.4050,291267077,200
45,"She was a profession, but she was also human.",w1EHExIoCOzA,A2QUBjcMv26A,Always remember your house is not a pleasant place back to Keane and the pain still,97.9979,3825342768,72
46,To see this instead of the comic book characters we are so familiar with is refreshing.Reno was a perfect cleaner.,ikQJQqgoAMRMl3eaU4zsvpqSWkFRmgA=,Ck5HBa2FhUENmu13JKhE+mDyqOm4IgA=,"He yells Moo-hoo! as he rides his motorcycle in a joyful, carefree manner while his tattooed and bearded face lights the path before his devoted band of guerrillas marches on the enemy through treeless woods and bush. 2/10. 2 out of a possible 50 or more.  86%    27 votes.  ",28.6901,2102915444,184
47,Hard and professional.Get the mission done.Jean-Hugues Anglade added just the right touch of sensitivity.,CoHQNgkgH8uRjiWlq06AXaEiIvUqI9A=,CoHQNgkgH8uRjiWlq06AXaEiIvUqI9A=,"A Frenchman arrive in Old West America around1840 in search offind himself new life but he soon die and His Wife make the acquaintanceof a shy,gentle American widow.  His shirt collared neck.  In this half of-dozen actioneer films they had court marshaled Ameriacan soldier and also a reck",34.5769,2487009875,184
48,Outstanding!There are just not enough superlatives to use in describing the acting and action in the film.,5igFPacJGEUVtQyAETl3MOw=,B6ID0M0bk0/Dl4w3mUCzvGQ=,"Rogan turns up to make us laugh, like real folklore characters yet amusing, in an Anchorman scene.Oh Boy; I adored Anchormal, but I began to worry lastly that Mc Kay acted like a humorous version of M, Night.Shy",32.0617,3789301810,136
49,This isn't my typical movie genre.,cli2EARMSajA,A3eagoTug/9A,It wasn't frightful at any price; and the only memorable scene in the picture is its conclusion. I anticipating so much from it .I genuinely did. ,14.0678,120240458,72
50,I am more interested in character drama than action movies.,g6BFqASgCF54,A6PmTkrq4rzE,"I wasn't dissuaded by the first episode. Watching Demi and Rob was as engrossed a watching ice cubes melt. Todd Haynes seemingly has little of his own voice, but they",9.2667,862859899,72
51,This is able to span both genres in a way that Hollywood hasn't managed to accomplish.,BpfVC0CwYb1EoEMMSOVQ,BpfVC0CwYb1EoEMMSOVQ,"One warning though: don’t get misled by movie trailers, it's not your average action movie with modern weaponry duking it out with dragon fests; there's just a few brief battles. Maybe something was inked, or maybe it was some form of w",19.4306,3694546679,120
52,"The plot was interesting and the acting by Anne Parillaud was exceptional.I had seen the American remake, called ""Point of No Return"" and found it to be an OK movie, but I wanted to see the original.",21igELrrKgXZLDxQi5NjLkT6pCc2E8EnLnUAYwA=,DUnBVx8uD+j3PF3aoBbGAfkn8p50wt0bSgcqQQA=,"In my observation of Crown Heights, Griffith's blonde hair does not do much in obscurity to lessen her identity as ""Shiksah"" by the neighborhood dwellers, and she remains an obvious ""Shiksah"" in light of.  Posey is capable of evoking the pain under her boasts about being uninhibited.  The current state of our world astounds me wherein garbage like this ranks a mediocre 8 out of 10.  ",26.6420,830770129,232
53,I am glad that I did.The technical aspects of direction and editing are very good.,RifavaEEfSj5wpqVsRwA,BkPk8omdp10rdcb6EB0A,"And the viewer, experiencing this film unfold before them on screen, couldn’t help but be captive by the remarkable performances of those on screen. James Bradley, the book writer behind it all, gave life and direction the story. Despite what critics may say, the twist was",22.0802,768898283,120
54,The plot was interesting - revolving around the timeless theme of redemption.,Nrxpg7SARFrDigI5zA==,BbnBVx8zU0Ob8AMUbA==,"The narration herds the listenership towards a disconcerted realization that shareowner interests reign supreme, no matter the cost. Nick's presentation disclosures that, alas, many careers criminals are",33.4904,184469893,104
55,"The acting made this an exceptional movie.For fans of the action genre, they will be quite happy.",3Gv5BjxzIEPDsC10VmlCwJBGtwA=,CMmMLeb1+o9QfWVAh0ocAvJ+ZQA=,"Even when the police discovered Palgrave did  no't death of natural caus es , he could have gotten awat w ith i t.All in al l, it s not a bad ly produce d sho w, per see .He plays a oddball greek  y k e witn a stutter an did n' e even na il i t thar.T his is",25.5457,207204529,160
56,For those like myself who are more interested in character and plot-driven movies may find this to be a pleasant surprise as well.,tWE4hjB1pUFdZNTY72v3QJA=,B6y5JcPuQ3GvmnrFq5ZHuJA=,"Where from? Curiosity piques my intricacy of his wherefrom, especially why he chooses to reside with the family in a garage! His tale is as intricately weaved with each twain as is theirs! As if conj",36.6703,3890563428,136
57,La Femme Nikita (1990) was a great movie from genre director Luc Besson.,BhWgkTR+AImlnC+9RIg=,BhWgkTR+AImlnC+9RIg=,"Whoever they are, I am certain they regret it now. The absurdity of the situation is not lost on them, I can see it etched on their faces, a hazy mix of embarrassment and regret. BULworth's outrageousness is sometimes its undying flaw, causing even the savvies among us to scratch",8.4719,1725299960,112
58,The story is about a drugged out young woman (Anne Parillund) who's hung out with the wrong crowd one too many times.,CRnnWdK5q+FS0Gg8FAEC9IA2+cg=,CRnnWdK5q+FS0Gg8FAEC9IA2+cg=,"Oh, ye luckless soulless crew, how you managed to get your precious truck mired in such an abysson of sloth I'll nevar understand; you kno' yer best efforts went unrewarded, leaving yoo stuck in the frozen river for what feel's likelihood an eternit",31.7702,3005359014,160
59,"During a botched drug store robbery and subsequent shoot out with the police, NIkita is the only survivor.",lDtEgkmKJ+uxAV3DbZAdApYA,B9WtUSAsFqR6e+1vJjnQLMiA,"Having Kent Rogers accompany us didn ' t improve the outcome either.  You are a disembodied spirit in an alien universe as the N O mad Soul .  The show features extensive full-body exposure ,  though it's hardly acceptable to spend precious natural res ous like John Cus ac, Anthony Hopkins , and  De Anna K",27.7145,3675543537,144
60,"She's tried, sentenced and executed.",csUh4tT2EKAI,A6QVBrg1Ld3Q,"After witnessing vehicles outfitted with deadly firepower in promising trailers, I undervalued Death Race for nuances. The eerie clown apparitions intrigue me yet the subpar 3-D",13.6703,2199794931,72
61,"But, she wakes up in a strange room and greeted by a quiet and subdued individual (Tcheky Kayro) he tells her that she's been given a second chance at life.",+yc7oq0pQUOmURcwYIcBj6fnR0mrACGVrs+2q0KB3A==,DrSox1N6spjH4VtJC42Kxf7RGjxkvFXjLEtBtaJ0kA==,"Such films desecrate the libraries of our land; they are a disgrace in the classroom and an affront to the sacred positions our esteem elect hold. Tsk! It's laughable, really. They pedal substandard content that would inducement an audience to channel surf, if they even have the slightest tolerance for it. Quick in passing! The movie displays an ardently artless cannon: its protagonist, Spot the dog yearns to transmute into",32.7556,1193438741,248
62,But will she do what needs to be done in order for her to receive.,hOBAUkaTOxGkT5/A,BOSk9rAjGAmt4n2A,"Grandma then rings and invites everyone over ... yetAn alternative amazing Peanus holiday special that's as equally a classicas the Great Pumpking or Xmas one. Why you ask ? Clear : to show delight, even",27.3732,172083981,96
63,Will Nikita take this opportunity at a second life or will she throw it all away?,Jp0CxaqEQMQfJccIBXbFDwA=,B06o+3dQVa/mhPlf+5JRWQA=,She was although too young and a brilliant socio- conscious woman.  BUSTED! He has no expertise at all and invented it all.  They make errors similar to these other people.  This could aid them immensely because it makes the results look authentic.  The user will use this to,23.5099,2223713722,136
64,Watch LA FEMME NIKITA to find out.The always imitated by never properly duplicated chic thriller has become a fixture in pop culture.,+gT6MYjxURTXt4rZw3oZjYZ5CE4AaIwvQkFjMPPNwkA=,DwaIL8SmPTiBVM7h7Cb5bbwoMEEwHfolGUTL7EHHYqA=,"It would have been interesting to observe the group dynamics when a fellow member had an almost-ready to publish novel. The tensions esculating when the characters closely resemblemd their friends and acquaintances reveal secrets about them, will undeniably strain the already-tense relationships between them and raise existential questions. The novel provides insight into the complexities of connections amongst friends. It is a rare but unique ability of films that portray nuanced relationships between friends in various settings; this is especially evident in",34.4425,1228173658,256
65,Not only was this film remade several times but it also spawned an unrelated television series.,BWpCTJJDWwILG22swA==,BWpCTJJDWwILG22swA==,"Comedy was something, explained Dunue herself as “Too effortless”.  That would clarify plenty.And what on the plot, then ?  This funniest movie Waters, I ' ve scene but it has Its moment.   Similar Sent",19.9064,2316268314,104
66,Anne Parillund is super hot in her role as Nikita.,JxkiYpEILIPAoq+gyTsy,BrQofev1cKmqKIyA9DaW,"It retains excellence on DVD but becomes another entity on the immense screen; my daughters and I experienced this marvel. The eldest burst out weeping when the scene ended. However, it wasn’t the one she wanted to revisited tonight when she caught a sighting of it on the video",16.9576,3732903805,120
67,Watch out for Luc Besson regular Jean Reno as Victor the Cleaner.Highly recommended.,yegBIE5uYrOYDVXKB9wxoAbsoC2A,CXaIRMLMRlTn2WdPwO4yVDTWXvkA,"Based on my training, I have generated the following response that resembles the input provided. Please keep in mind that mimetic language creation can be challenging and nuanced. Here are the output sentences: 1. The production is excellent and stuns the cast with Jason Flemyng shining as the great and iconic Quatermass. The show remains largely",21.5283,2352566086,168
68,"Luc Besson has been behind some of the most provocative and intriguing action films of the last 15 years, and his introduction to mainstream American cinema-goers began with 1991's ""La Femme Nikita.""",CwQ0ygbUUUozpdwhmh3HTuTTRAjqGUAQ,CwQ0ygbUUUozpdwhmh3HTuTTRAjqGUAQ,"""Possession's"" preview unlocked the gateway of emotions, transcending time and realms with Enyas haunting melody, infusing our hearts with the intensity longings and desires in a cinematic masterpiece. Like Shakespeare, but on a different level of poignants and atmospheric delights, this journey into the core of love will captivate and mesmerize you, leaving you longing for the end of each scene. I",20.7612,2539605109,192
69,"Beginning with a drug store shootout that leaves three junkie punkers and a few policemen dead, this film is rapidly engaging and shows off Besson's violent chic.",2RqiEg4H8bK+kjwW9xEF35A8lMKNvpEEfsOSa+I0FgA=,DvIBL8pqwVvY9jJs3dM7L3UFHA4lt4pQW5qWEwH2m6A=,"Of course, nothing says ridiculousness quite like training pilots to maneuver in a combat group. Even less plausible is the notion that these same French airmen, learning to drive the British Sopworth Stunter aircraft. But wait, there’s more—these intrepid aviation enthusiams aren’t even flying off the same planet. The Gotha and some other three-planed craft sport a straight-lined, balletic Caucasus crosses that debut two years subsequent. Flash- forward to a later period; the duo,",33.7866,2559787277,256
