sentence_id,plaintext,enc_bits,enc_bits_wo_ef,stegotext,ppl,enc_seed,used_bits,dec_bits
12,"When I say this is my favourite film of all time, that comment is not to be taken lightly.",1uFRRGGusEW6XGQA,BPWDakZN1DNqnakA,"Perhaps you are lookingfor something more exciting this time? Don’t worry; I may assist if that’s the case. If you are looking to experiment with an unusual film, this might be",25.2730,4112462818,96,hIA=
13,"I probably watch far too many films than is healthy for me, and have loved quite a few of them.",1SiNmABVHkosECyLmpQA,BlP/0v+yioZ+GEpliEwA,"Evren’s inattention to detail annoyed his colleagues at work and caused them much frustration by consistently submitting incorrect reports. Despite his lack of dedication towards deadlines, they continued to rely on him",25.2737,2140960517,120,pxsAgTUIQIMIAA==
14,"I first saw ""La Femme Nikita"" nearly ten years ago, and it still manages to be my absolute favourite.",hmWewKBkqePBVwQhhCMA,BmP9PZ35ULNyJSEAhKeA,"The macabre and atmosphere are engrained within what we have inherited. The result is a product of Browning's craft.Ghosthouse is not even worth being used as a film, let alone in the eyes of a fattest woman on the world.Though this opinion seems harsh,",15.8955,3406181632,120,gA==
15,Why?This is more than an incredibly stylish and sexy thriller.,JLwcU8JZ44EDAY7pQAA=,Bc/lFle01gFWq1je/wA=,That's the only reason I appreciated this film.Two performers unexpectedly exited an aircraft midflight and discovered themselves on a mystical tropical island.That escalator stuns me— the most beautiful I'm familiar to seeing.There's only one detail that was challenging for me,11.7533,2459105001,112,CAA=
16,"Luc Besson's great flair for impeccable direction, fashion, and appropriate usage of music makes this a very watchable film.",HwYurwKins0sXBNcIZMQvO0i1r6KAA==,CgQ0ygM863Y3l+JoPuIfKLY8mysMAA==,"She hijacked the youngster and fled.What scandalocious woman! In retrospective, it'd been my brainwave to watch that movie with your pal back in ' 93, and they enjoyed the picture! The film was exciting, and you got to witness Martin Laurence's finest acting since Remember the Titan. It'd also introduced you to the",26.8108,3618714477,176,DEAQ
17,"But it is Anne Parillaud's perfect rendering of a complex character who transforms from a heartless killer into a compassionate, vibrant young woman that makes this film beautiful.",TEzoUjClQkKAfptmljL0LpmIekiH9uDN1gZg,DISidWbJ37kRaBrKNWS/06OzTqKtJKprYAYA,"Mom moments flood back. Recall fondly of the previous one...? probably watching for the leads, silently...?  !!! ??.!  .?... !!!! ??.  Sounds good, mate!  ?!! Encore, anyone?   ??.  ._.  Wow, what a ride that is. ??.!  ...?... I think ,,!.. ",41.7388,2494878236,216,GA==
18,"I can't keep my eyes off of her when she is on screen.I have seen several of Luc Besson's films including ""Subway"", ""The Professional"", and the irritating ""Fifth Element"", and ""Nikita"" is without a doubt, far superior to any of these.",T8Di6ROLok5aQaKjBICuADmQDWghSoccVYsW5a1qHvI=,DzPfGJopMVvkAbkwBMxoiLK7tgir9dq3J/RT2C+TLDA=,"I wish we woulda had an Allison at home during my time... if I had a younger sistah, she'd have somеthing to strive for, like that Marlene Jobert. Email: davidjanmеllinger@yahоо.com。 It’s a shame you won't have her around to protect уou from all of the Bronson dilemmas. Thanks, Marlене! Love that naiveté! Fw: Marlee",35.1752,297152836,256,SAA=
19,"Although this film has tragic elements, it is ultimately extremely hopeful.",BMbQjRDKK4goknwA,BMbQjRDKK4goknwA,"It was unthievable.Only gave a rating of two because it includes Jason, to whom I could watch the entire video without switching off, though it caused several emotional reactions and is still haunting me now",18.8206,4228272834,96,gJAA
20,"It is the story of a person who is cruel and merciless, who ultimately comes to realize her own humanity and her own personal power.",B/NRMQs+u0E0mL5TQoSSlGzg,B/NRMQs+u0E0mL5TQoSSlGzg,"It was a good mystery. I gave the film a solid 8/10 rating. The older man delivered his lines with great passion and conviction. In the later scene, Cassavetes' slimy yet captivating performance made me uncomfortable. However, Amy Irvings' daring escape scene really stole the show. Her acting was nothing short of",14.1331,2715195834,144,BA==
21,"That, to me is extremely inspiring.",koG3A0PSCHA=,AwIn2ljEy2A=,Armies could move like in chess. It'll rain down upon the enemy great wrath. Kickboxing? You bet your,22.7185,2286573400,64,ihJgAA==
22,"If there is hope for Nikita, there is hope for all of us.",FgPS1RQoxC9CgA==,BAKcmefPeDWDAA==,"He spoke to an obscure stranger and compelling the latter to have involvement in the abduct of his daughters, while he himself was gripped with feelings of ble",20.8859,3839807174,80,IA==
23,I saw this movie because I am a huge fan of the TV series of the same name starring Roy Dupuis and Pet Wilson.,CLPbE7DBgSDhY/WguapBPCSRTA==,CLPbE7DBgSDhY/WguapBPCSRTA==,"American Kickboxer David, a hairless and scrawny, anti-social socipath and LAPD cop Mike Clark joined forces to find the kidnapped grandchild of a former inlaws, Lilly. Meanwhile , Jed is unaware that the Sherrif Hunt has swore to terminate Rudy.  The born once more members from the god squad have given this film",21.5238,3746072366,152,AA==
24,The movie was really good and I saw how the TV show is based on the movie.,digVwtUD4rtmhEbQ,BTkmBbo4K80Y3rsC,"It details the circumstrancers of her parents' divorce. Although Noah is represented by her, the elder son Walt, she is played by Elizabeth Báthory as 'Betty'. It is a complicated film and No Viewer will fully",22.7896,3078804712,96,AZAg
25,A few episodes of the TV series came directly from the movie and their similarity was amazing.,BnB+Z1sOIdlXGICBRI2A,BnB+Z1sOIdlXGICBRI2A,Many of them resemble goaded home movies featuring inexpugnably relatives muggling for camera. You have a be better chance of discover the groundings of the Sphinx  or learning Quantum physic at the age of tree  than understanding why movie takes the turning it does  here.,16.9896,241050389,120,CA==
26,"To keep things short, any fan of the movie has to watch the series and any fan of the series must see the original Nikita.",CU5C9dJErWBbPO/bJg0CKOHAg+YA,CU5C9dJErWBbPO/bJg0CKOHAg+YA,"When they probed into noise, found satellite ruptured and jeep crushed with the guy in pink top found on the eve of shooting still forgetful on outfits, things took strange turn.  Movie can best be characterized in one word – garbage, mess of a film really. Oh and there was this one dude who kept forgetting his",23.6598,2039089657,168,BwA=
27,"Being that the only foreign films I usually like star a Japanese person in a rubber suit who crushes little tiny buildings and tanks, I had high hopes for this movie.",2jAFa0GA6kPuJmsyC8+CjzctpNHkxk4hwGeeQA==,DOIKy1Pb62F0GX0YsLrjgGQVzwKcDq9zxzKCAA==,"This movie seamlessly integrates various styles, flawless in their execution that it's hard to tell which genre it belongs. The plot wasn 't wholly unpredictable, but it failed in its emotional execution, especially where it came to its most emotive part. Roscoe loved Mable's wife dearly, his anguishing over losing her was undeniables. However, the issue remains of tone inconsistent with production credentials like Jerry Bru",34.9560,3908883527,224,YEMA
28,I thought that this was a movie that wouldn't put me to sleep.,BBPCYlrWS0FnAA==,BBPCYlrWS0FnAA==,"It's a strictly TV caste, particularly of Wendy and Linden Asby in.  If you find it's on air and love mystery-and suspense moviest, you probably will like.  I",17.5633,3757048399,80,AAA=
29,"WRONG!Starts off with a bang, okay, now she's in training, alright, she's an assassin, I'm still with you, oh, now she's having this moral dilemma and she can't decide if she loves her boyfriend or her controller, zzzzz.... Oh well, back to Gamera!",DyGwtEvVGIFY/dOxAdphS0txAUAFlzDbTLjBEc4H/SQ=,DyGwtEvVGIFY/dOxAdphS0txAUAFlzDbTLjBEc4H/SQ=,"Weddings now feature passages from the scriptures, messages and character development lectures from our Irish chaplain's.  A female personal assistant is stuck with me, a computer to be precise, that Kirk is attached to. The Air force pilot has just encountered, Spock.   To my delight, I watched this after catching the episode on IFC Grindouse last night; it brought back so many childhooh rememories!  A classic; I can see why you have it recorded!   The characters are",34.5030,1350526258,256,AcA=
30,"After seeing Point of No Return (a great movie) and being told that the original was better, I was certainly thrilled to see that one of the indie film channels was running La Femme Nikita.",zADuSh4Ed27SvoBVvKNpiQCUTiVDyF0iq2T1AA==,DMDsblOKY5JcBzRX0z6MLxyyFnUBgdlxWKPiAA==,"Only Harpo's musical sequence and a brief duet with Chico on the piano are truly exceptional, in our humbly opinion.  Chuck Hasting's recent movie is worthwhile, but Hastings document on the great director John Houston brought tears to our eye.  We can go into more technical details of the grammar, semantic and phonic if you need or rather, prefer.  Please let us assist further!  How else we may aid you?  We, like you are",29.1842,1369794811,224,AAB0gA==
31,Then I saw the movie.Ouch!This was a major let-down.Nikita herself reminds me of Jar Jar Binks more than any other character I've seen recently.,C+CQpwjyZGNu98wx+UNKuhhyYQVwKyEAiwA=,C+CQpwjyZGNu98wx+UNKuhhyYQVwKyEAiwA=,"I know of one instance where a stand-in was used to replicate a speaking role, with the actor's back turned while dubbing a voice in later. That's what I heard!  And the eerily similar demise scene in the A Nights on Elm Street also influenced a more brief similar sequence in the movie Specter's. The maverick sound designer Serio stivalli was able to make believable magic happen yet again, except towards the end! The finale is not",23.3628,3491114342,208,AQYFEALggBACWA==
32,She comes across entirely as comic relief.,w0AVAsQssctg,A3QXJv9IhZ9A,"Sorry, you guys will be sorely let down. Suddenly, Superman is no longer the source of all humanity's hope but the ""enemies"" of",13.7274,3116115723,72,SAA=
33,"The movie simply has nothing to recommend it besides the core concept of an evil, inhuman character paradoxically learning to be human while training as an assassin, and that concept failed miserably in Nikita due to the poor writing of the title role.",OrDYV7cqipbW0QAmoO9TFIUMZCPbLB+GoDSDpPLwhIA=,DxkmHbfD8NC21Mz6VcSxhq1frP3oOYjJZkpkNdbmrAA=,"If cinemas offered returns when spectateurs werent satisfied by a filmthis turkeys would havebeentopped onthe third day.I just dosnt careabout him Atall ... to be honest, The whole Movie struck me as Giant, Long drawn- out Metaphors for a midlife crisis ,a guy pines after a Girl whose not ready For him for  years and yearsthen when She finally takes him int her bed, they Spenthree glorious years inbetween the sheets, and As soonas Responsibilities shows upin the form Of a Child hes Runaway From commitment,blaming his Condition. ",23.9603,3493472494,256,AA==
34,"Stylish thriller?Hardly!This French action film from director Luc Besson is more confused and unsure about itself than anything else I have seen recently.The opening action sequence shows some promise, and the following action sequences are good.",DtyDoxWgPHABBAV1XykBMYY6Va0y0KPKORMwBmg6UwA=,DtyDoxWgPHABBAV1XykBMYY6Va0y0KPKORMwBmg6UwA=,"I don' t suppose any of them would have bother ed to watch the movie either. Everyone involved in making this movie deserves better than to be associated with something like this. The acting was subpar at best, and story made no sense whatsoever . At least some of the effects might 've be n pass able, if those are supposed to be the ones they hype up. But who knows anymore . It seems like everyone's just phoning this one  in anyway. Ugh, wast e of time watching it.   I shouldn't have bothered.",23.7091,2777960344,256,BmCGgJJwANJFAEgACIA=
35,However they are sadly too few and far between.,0mAjElp9Aqkg,A4Q9uZcq9Cgg,"It's quite the unique reversal of roles we're obsercing here. A pair of tensed-up youths are visiting a mysterious individual, pondering the age-old query of tying the knot. While some gro",10.2714,89085090,72,RAqAGgg=
36,"The drama is dull and erratic, and the characters are generally unlikeable.",hR2+HB0woEF9wpAY,BRimuqeXN3YLyVlA,"Oh, yes! It sounds like there are a lot of beloved memes stemmed from “The Shining”! That famous line from Eric Lunden really brings laughter! I can imagine",35.0791,5904318,96,gA==
37,Anne Parillaud and the support cast are unable to involve the audience emotionally.,1EqRWKjAJPiJiRsYcKSFJjng,B/Qofev10NAuzt3/hzTxbJ0g,"Snake eater: The Drug Bustee! Ahh, a movie that has earned its place in the hearts- if not the minds- of many a film lovers. Amoun them: every scene featuring the hero's cantan Kenorous dad, Herritte sister Roase Persuaing",33.8226,860304392,144,igA=
38,"""La Femme Nikita"" ends up more like a try hard, B-grade action thriller.",FBCxafAY4LAYfyYQHJp7cREA,B+DeTqAQvyAQVcQf6OxSXh4A,"He's definitely not a saint. Sure, he might've bought an whole building forhis cars, though we gotta give him some slack for providing millions of folkes with endless laughs over time  As a comedic genius and an entertaining figure. He'sthrilling to listen accounts of the conflict from war veteran , offering perspective that few others can match.",24.4322,1079261212,144,jAJEQAMQEYA=
39,"Very average!Saturday, April 28, 1991 - Balwyn Cinema",FE40B5EDrc2awbRSGhuANyA=,B4vYBR4CyXbsgSecE+0AJcA=,"Cro Cop's performance in the movie was terrible! It seems as though he's fighting against the screenplay rather than the other actors. His lack of enthusiasm is contagious, and he fails utterly at conveying any empathy for the characters he's supposedly portray. It's a big shame there won;t be more MMA fights in the movie,",17.7155,3008721991,136,BGA=
40,"A Luc Besson (Léon, The Fith Element, The Messenger: The Story of Joan of Arc.",qKC74rxoaiMdNaostChBmaCE2PE3nA==,CiAWa6Qu84+UUNj9OE1MrXiCyKNlfA==,"Yeah! even in the grimest moments they have at least some good belly giggles and in lightest scenes, some moments of sombre gravity!  I'll put it down to a solid 9.5 out of ten! *adjusts glasses* Did not Peter F Jackson give us the benchmark for this kind of movie! *adjusts hobo attires",27.2134,3104747604,176,AA==
41,"Angel-A) film with Anne Parillaud (Innocent Blood), Tchéky Karyo(The Messenger: The Story of Joan of Arc, The Patriot, Kiss of the Dragon) and Jean Reno (Léon , The Crimson Rivers, Godzilla).",rT1HQCSic4gUBtMmljyOQ1wS7D95KKi9cngNR40CYA==,DpU5bBY+V6LntfYkNqyhohIFIEaNUifpK+FFFk2wmA==,"Yes again the hunted becomes a Hunter in his own game of survival, the prison Massacres a true Story Of  when the police dealt a ripe situation. Having no money the inmates expected less critical than I would be.  In such circumstances, the hunter'0 become prey as the unpaid inmate. Surival of fittest, or it ends with the last man being in charge!  The",54.7023,2980104120,248,iA==
42,"It doesn't get better than this.The photography by Thierry Arbogast was perfect, especially the blue lighting at the pharmacy scene.",6GkFj0IQWC+T+4USQE+jPVssoGbyCEA=,CnNOn9wLki/lKoF8USAa0hc1n0rRwIA=,"It was a comical genius that Rags Raengg left behind, showcasing the impressive ability we witnessed in each scene and dialogues. I must say some people seem fond of its silliest aspect, but for my personal preference, the humor wasn't fully amusing in that sense, despite some hilarious moments captured.",32.5633,3641834833,184,4GABFwA=
43,It is easy to see why Besson uses him for his films.,dwVlJqSCUCJqAiA=,BINU4RfUrJ/Aw/A=,"If you expect moviemaking to appear realistic, don’t watch Teletube. The film starts by revealing that Lary has gone MIA. It could have been even more so-realistic, even more",17.3984,3308362794,88,I4A=
44,"He is a master.Parillaud was absolutely magnificent in a character that was a strong woman, and a little girl at the same time.",S/CWDKSHw1EnlT7C3MTjWZgeAJS0cEFNAA==,C0Tbt9kWqc34FHlXpq4Db27xEYxzRAFYAA==,"Sorry to hear the film didn't satisfy you. The original storyline doesn't appear to have worked well with the Indian market. If you're looking for recommendations on what movie you could see instead, Snatch might appeal to you as it offers a similar experience. Leaving aside the movie's weak plot adaptation, it looks like the cast does an acceptable performance, with two standouts from Laura McLauchlin to Sash Graham bringing their characters alive.",25.6817,291267077,200,UEWoAA==
45,"She was a profession, but she was also human.",w1EHExIoCOzA,A2QUBjcMv26A,"Always remember your house is not a one-room motif. It is a complex structure comprising various rooms, each",49.1348,3825342768,72,7YA=
46,To see this instead of the comic book characters we are so familiar with is refreshing.Reno was a perfect cleaner.,ikQJQqgoAMRMl3eaU4zsvpqSWkFRmgA=,Ck5HBa2FhUENmu13JKhE+mDyqOm4IgA=,"He yells Moo-hoo! as he rides his motorcycle in a reckless manner. 9-1 out of 1,0. A ridiculed movie that will be cherished for its quirky charm years after most view it.10 out 1,2. And then he painfully tattooed Ricky's face with spoon designs",29.0429,2102915444,184,RHAELAIA
47,Hard and professional.Get the mission done.Jean-Hugues Anglade added just the right touch of sensitivity.,CoHQNgkgH8uRjiWlq06AXaEiIvUqI9A=,CoHQNgkgH8uRjiWlq06AXaEiIvUqI9A=,"A Frenchman arrive in Old West America around1840 in search offindung new lives for himself and his spouse. But, he soon meets an unfortunate fate and his better half becomes acquaint with a quieten, gentle American widow er.   A group of court martialed US soldiers and one reckles Airforce personnel esape after clashing vile Enny. Even in 1523",26.5018,2487009875,184,AA==
48,Outstanding!There are just not enough superlatives to use in describing the acting and action in the film.,5igFPacJGEUVtQyAETl3MOw=,B6ID0M0bk0/Dl4w3mUCzvGQ=,"Rogan turns up to make us laugh, like real humans sometimes do. Though I enjoy Anchorman, like an unholy fusion between M. night Shymalan, Mackay consistenty defies the odd with his comedic genius. It wouldn",31.2136,3789301810,136,qkGOSWBRAA==
49,This isn't my typical movie genre.,cli2EARMSajA,A3eagoTug/9A,"It wasn't frightful at any price; and the only memorable scene in the picture is at its conclusion.  Had high expectations, seriously: could",20.1696,120240458,72,MAA=
50,I am more interested in character drama than action movies.,g6BFqASgCF54,A6PmTkrq4rzE,"I wasn't impartial to the first episode either, watching it was quite engaging. I'm not sure what it would be like to watch Demi and Rob, I couldn;'t imagine",14.9913,862859899,72,gkA=
51,This is able to span both genres in a way that Hollywood hasn't managed to accomplish.,BpfVC0CwYb1EoEMMSOVQ,BpfVC0CwYb1EoEMMSOVQ,"One warning though: don’t get misled by movie trailers, it's not what the movie is actually about but only has a few brief battled scenes. Maybe there was something of a bargain or dare but it would seem familiar. Opponents in a comedy",18.9636,3694546679,120,ADg=
52,"The plot was interesting and the acting by Anne Parillaud was exceptional.I had seen the American remake, called ""Point of No Return"" and found it to be an OK movie, but I wanted to see the original.",21igELrrKgXZLDxQi5NjLkT6pCc2E8EnLnUAYwA=,DUnBVx8uD+j3PF3aoBbGAfkn8p50wt0bSgcqQQA=,"In Crown Heights, dying her blonde tresses brown does little to make Griffith appear any more than she is already perceieved to be – a ""shiksa,"" or Gentile woman, in this glimpassed setting. Pose's portrayal brings poignant authenticity in conveyaung the anguish underlying her apparent facades. It is disconcertiaing, nontheless, when such mediocracy reaches so highly iin tjis twisted world. A more realistic ranking should be",24.3319,830770129,232,dIA=
53,I am glad that I did.The technical aspects of direction and editing are very good.,RifavaEEfSj5wpqVsRwA,BkPk8omdp10rdcb6EB0A,"And the viewer, experiencing this film unfold before them on screen, couldn’t help but be captive by the remarkable performances of those on screen. James Bradley, the book writer behind it all, gave life and direction the story. Despite what critics may say, the twist was",22.0640,768898283,120,AA==
54,The plot was interesting - revolving around the timeless theme of redemption.,Nrxpg7SARFrDigI5zA==,BbnBVx8zU0Ob8AMUbA==,"The narration herds the listenership towards a disconcerted realization that shareowner interests reign supreme, no matter the cost. Nick's presentation disclosures that, alas, many careers criminals are",33.4731,184469893,104,AA==
55,"The acting made this an exceptional movie.For fans of the action genre, they will be quite happy.",3Gv5BjxzIEPDsC10VmlCwJBGtwA=,CMmMLeb1+o9QfWVAh0ocAvJ+ZQA=,"Even when the police discovered Palgrave did  no't death of natural cause, he would have been able tae elude the detection.  In general , it 's no't a baely produc' din that department but rather an endeavor t try ta take place in the middle-clas world of the elites, where surreal",39.1310,207204529,160,gA==
56,For those like myself who are more interested in character and plot-driven movies may find this to be a pleasant surprise as well.,tWE4hjB1pUFdZNTY72v3QJA=,B6y5JcPuQ3GvmnrFq5ZHuJA=,"Where he comes from is a mystery, he's been living in the garage with these strange family for who-knows- how long; he's a figure shroud in enigmas. He was wand'ring around lost one fay, when he cam across them- a family with",28.3628,3890563428,136,gA==
57,La Femme Nikita (1990) was a great movie from genre director Luc Besson.,BhWgkTR+AImlnC+9RIg=,BhWgkTR+AImlnC+9RIg=,"Whoever they are, I am certain they regret it now. The absurdity of the situation is not lost on them, I can see it etched on their faces, a hazy mix of embarrassment and regret. BULworth's outrageousness is sometimes its undying flaw, causing even the savvies among us to scratch",8.4734,1725299960,112,ASThBAA=
58,The story is about a drugged out young woman (Anne Parillund) who's hung out with the wrong crowd one too many times.,CRnnWdK5q+FS0Gg8FAEC9IA2+cg=,CRnnWdK5q+FS0Gg8FAEC9IA2+cg=,"Oh, ye who think yourselves too slick trying ta get that sweet thrill from a good ol 'stucky situation! Yessireebob, ya better be prepared ta dig yerself right outa that rut! *chuckles* It's like notha else matters! *ey",25.5163,3005359014,160,QA==
59,"During a botched drug store robbery and subsequent shoot out with the police, NIkita is the only survivor.",lDtEgkmKJ+uxAV3DbZAdApYA,B9WtUSAsFqR6e+1vJjnQLMiA,"Having Kent Rogers accompany us didn ' t improve the outcome either.  You are a disembodied spirit in an alien universe as the N O mad Soul .  The show features extensive full-body exposure ,  though it's hardly acceptable to use John Cusac Anthony Hopkins Dana Carve ' s skilled talent for nothing . If you '",22.7507,3675543537,144,cAQgQKUA
60,"She's tried, sentenced and executed.",csUh4tT2EKAI,A6QVBrg1Ld3Q,"After witnessing vehicles outfitted with deadly firepower in promising trailers, I undervalued Death Race for nuances. The eerie clown apparitions intrigue me yet the subpar 3-D",13.6788,2199794931,72,CCaU
61,"But, she wakes up in a strange room and greeted by a quiet and subdued individual (Tcheky Kayro) he tells her that she's been given a second chance at life.",+yc7oq0pQUOmURcwYIcBj6fnR0mrACGVrs+2q0KB3A==,DrSox1N6spjH4VtJC42Kxf7RGjxkvFXjLEtBtaJ0kA==,"Such films desecrate the libraries of our land; they are a disgrace in the classroom and an affront to the sacred positions our esteem elect hold. T he movie in question represents a canine protagonists yearning to become genuine, living being- a true insult. It is the type of material you would immediately disregard on TV and even switch channels if you possessed a single moment of patience to bear it in the first place, really quickly and succint.",38.7844,1193438741,248,NCA=
62,But will she do what needs to be done in order for her to receive.,hOBAUkaTOxGkT5/A,BOSk9rAjGAmt4n2A,Grandma then picks up and invites Chuck's entire crew... Another festive Peanuts holiday extravaganza that'll be as popular with the gang today! Why? Clear as glass: the love and warm,18.6899,172083981,96,kA==
63,Will Nikita take this opportunity at a second life or will she throw it all away?,Jp0CxaqEQMQfJccIBXbFDwA=,B06o+3dQVa/mhPlf+5JRWQA=,"She was although too young and a brilliant socio- conscious girls. BUSTED, He had no expertise at all and concocted the whole story. They, just like the rest of us make mistakes.  They may not look much, they might not even seem knowledgeable or competent, BUSTEd. He had a lot to discover and learn",23.6028,2223713722,136,AOAA
64,Watch LA FEMME NIKITA to find out.The always imitated by never properly duplicated chic thriller has become a fixture in pop culture.,+gT6MYjxURTXt4rZw3oZjYZ5CE4AaIwvQkFjMPPNwkA=,DwaIL8SmPTiBVM7h7Cb5bbwoMEEwHfolGUTL7EHHYqA=,"It would have been interesting to observe the group dynamics when a fellow member had an almost-ready to publish novel. The tensions esculating when the characters closely resemblemd their friends and acquaintances reveal secrets about each individual in these relationships. This situation could shine and alter their foundatin.  It's fascination, the way that can be told how characters are feeling, is rare.  It'ss unique to find this quality in film adaptations.  Things go awry for a group of friends when an about-to-",27.7772,1228173658,256,jgwoJSAEkAkqAAgA
65,Not only was this film remade several times but it also spawned an unrelated television series.,BWpCTJJDWwILG22swA==,BWpCTJJDWwILG22swA==,"Comedy was something, explained Dunue herself as “Too effortless”.  That would clarify plenty.And what on the plot, then ?  This funniest movie Waters, I ' ve scene but it has Its moment.   Similar Sent",19.9079,2316268314,104,AEKAACoGAA==
66,Anne Parillund is super hot in her role as Nikita.,JxkiYpEILIPAoq+gyTsy,BrQofev1cKmqKIyA9DaW,"It retains excellence on DVD but becomes another entity on the grand screen. Two girls, my darlings - the elderly one snickered so much during the climax her pal burst into tears - begged me last thing night to",27.2002,3732903805,120,GYQgRAMAwA==
67,Watch out for Luc Besson regular Jean Reno as Victor the Cleaner.Highly recommended.,yegBIE5uYrOYDVXKB9wxoAbsoC2A,CXaIRMLMRlTn2WdPwO4yVDTWXvkA,"Based on my training, I have generated the following response in a conversational style: It amazes me when a show can come out this year with such potential! This reviewer is spot- on with what this version of Quatermass had. Working next door with David Tennett, The Doctor Who star,",43.5811,2352566086,168,DAA=
