sentence_id,plaintext,enc_bits,enc_bits_wo_ef
18,"I can't keep my eyes off of her when she is on screen.I have seen several of Luc Besson's films including ""Subway"", ""The Professional"", and the irritating ""Fifth Element"", and ""Nikita"" is without a doubt, far superior to any of these.",T8Di6ROLok5aQaKjBICuADmQDWghSoccVYsW5a1qHvI=,DzPfGJopMVvkAbkwBMxoiLK7tgir9dq3J/RT2C+TLDA=
19,"Although this film has tragic elements, it is ultimately extremely hopeful.",BMbQjRDKK4goknwA,BMbQjRDKK4goknwA
20,"It is the story of a person who is cruel and merciless, who ultimately comes to realize her own humanity and her own personal power.",B/NRMQs+u0E0mL5TQoSSlGzg,B/NRMQs+u0E0mL5TQoSSlGzg
21,"That, to me is extremely inspiring.",koG3A0PSCHA=,AwIn2ljEy2A=
22,"If there is hope for Nikita, there is hope for all of us.",FgPS1RQoxC9CgA==,BAKcmefPeDWDAA==
23,I saw this movie because I am a huge fan of the TV series of the same name starring Roy Dupuis and Pet Wilson.,CLPbE7DBgSDhY/WguapBPCSRTA==,CLPbE7DBgSDhY/WguapBPCSRTA==
24,The movie was really good and I saw how the TV show is based on the movie.,digVwtUD4rtmhEbQ,BTkmBbo4K80Y3rsC
25,A few episodes of the TV series came directly from the movie and their similarity was amazing.,BnB+Z1sOIdlXGICBRI2A,BnB+Z1sOIdlXGICBRI2A
26,"To keep things short, any fan of the movie has to watch the series and any fan of the series must see the original Nikita.",CU5C9dJErWBbPO/bJg0CKOHAg+YA,CU5C9dJErWBbPO/bJg0CKOHAg+YA
27,"Being that the only foreign films I usually like star a Japanese person in a rubber suit who crushes little tiny buildings and tanks, I had high hopes for this movie.",2jAFa0GA6kPuJmsyC8+CjzctpNHkxk4hwGeeQA==,DOIKy1Pb62F0GX0YsLrjgGQVzwKcDq9zxzKCAA==
28,I thought that this was a movie that wouldn't put me to sleep.,BBPCYlrWS0FnAA==,BBPCYlrWS0FnAA==
29,"WRONG!Starts off with a bang, okay, now she's in training, alright, she's an assassin, I'm still with you, oh, now she's having this moral dilemma and she can't decide if she loves her boyfriend or her controller, zzzzz.... Oh well, back to Gamera!",DyGwtEvVGIFY/dOxAdphS0txAUAFlzDbTLjBEc4H/SQ=,DyGwtEvVGIFY/dOxAdphS0txAUAFlzDbTLjBEc4H/SQ=
30,"After seeing Point of No Return (a great movie) and being told that the original was better, I was certainly thrilled to see that one of the indie film channels was running La Femme Nikita.",zADuSh4Ed27SvoBVvKNpiQCUTiVDyF0iq2T1AA==,DMDsblOKY5JcBzRX0z6MLxyyFnUBgdlxWKPiAA==
31,Then I saw the movie.Ouch!This was a major let-down.Nikita herself reminds me of Jar Jar Binks more than any other character I've seen recently.,C+CQpwjyZGNu98wx+UNKuhhyYQVwKyEAiwA=,C+CQpwjyZGNu98wx+UNKuhhyYQVwKyEAiwA=
32,She comes across entirely as comic relief.,w0AVAsQssctg,A3QXJv9IhZ9A
33,"The movie simply has nothing to recommend it besides the core concept of an evil, inhuman character paradoxically learning to be human while training as an assassin, and that concept failed miserably in Nikita due to the poor writing of the title role.",OrDYV7cqipbW0QAmoO9TFIUMZCPbLB+GoDSDpPLwhIA=,DxkmHbfD8NC21Mz6VcSxhq1frP3oOYjJZkpkNdbmrAA=
34,"Stylish thriller?Hardly!This French action film from director Luc Besson is more confused and unsure about itself than anything else I have seen recently.The opening action sequence shows some promise, and the following action sequences are good.",DtyDoxWgPHABBAV1XykBMYY6Va0y0KPKORMwBmg6UwA=,DtyDoxWgPHABBAV1XykBMYY6Va0y0KPKORMwBmg6UwA=
35,However they are sadly too few and far between.,0mAjElp9Aqkg,A4Q9uZcq9Cgg
36,"The drama is dull and erratic, and the characters are generally unlikeable.",hR2+HB0woEF9wpAY,BRimuqeXN3YLyVlA
37,Anne Parillaud and the support cast are unable to involve the audience emotionally.,1EqRWKjAJPiJiRsYcKSFJjng,B/Qofev10NAuzt3/hzTxbJ0g
38,"""La Femme Nikita"" ends up more like a try hard, B-grade action thriller.",FBCxafAY4LAYfyYQHJp7cREA,B+DeTqAQvyAQVcQf6OxSXh4A
39,"Very average!Saturday, April 28, 1991 - Balwyn Cinema",FE40B5EDrc2awbRSGhuANyA=,B4vYBR4CyXbsgSecE+0AJcA=
40,"A Luc Besson (Léon, The Fith Element, The Messenger: The Story of Joan of Arc.",qKC74rxoaiMdNaostChBmaCE2PE3nA==,CiAWa6Qu84+UUNj9OE1MrXiCyKNlfA==
41,"Angel-A) film with Anne Parillaud (Innocent Blood), Tchéky Karyo(The Messenger: The Story of Joan of Arc, The Patriot, Kiss of the Dragon) and Jean Reno (Léon , The Crimson Rivers, Godzilla).",rT1HQCSic4gUBtMmljyOQ1wS7D95KKi9cngNR40CYA==,DpU5bBY+V6LntfYkNqyhohIFIEaNUifpK+FFFk2wmA==
42,"It doesn't get better than this.The photography by Thierry Arbogast was perfect, especially the blue lighting at the pharmacy scene.",6GkFj0IQWC+T+4USQE+jPVssoGbyCEA=,CnNOn9wLki/lKoF8USAa0hc1n0rRwIA=
43,It is easy to see why Besson uses him for his films.,dwVlJqSCUCJqAiA=,BINU4RfUrJ/Aw/A=
44,"He is a master.Parillaud was absolutely magnificent in a character that was a strong woman, and a little girl at the same time.",S/CWDKSHw1EnlT7C3MTjWZgeAJS0cEFNAA==,C0Tbt9kWqc34FHlXpq4Db27xEYxzRAFYAA==
45,"She was a profession, but she was also human.",w1EHExIoCOzA,A2QUBjcMv26A
46,To see this instead of the comic book characters we are so familiar with is refreshing.Reno was a perfect cleaner.,ikQJQqgoAMRMl3eaU4zsvpqSWkFRmgA=,Ck5HBa2FhUENmu13JKhE+mDyqOm4IgA=
47,Hard and professional.Get the mission done.Jean-Hugues Anglade added just the right touch of sensitivity.,CoHQNgkgH8uRjiWlq06AXaEiIvUqI9A=,CoHQNgkgH8uRjiWlq06AXaEiIvUqI9A=
48,Outstanding!There are just not enough superlatives to use in describing the acting and action in the film.,5igFPacJGEUVtQyAETl3MOw=,B6ID0M0bk0/Dl4w3mUCzvGQ=
49,This isn't my typical movie genre.,cli2EARMSajA,A3eagoTug/9A
50,I am more interested in character drama than action movies.,g6BFqASgCF54,A6PmTkrq4rzE
51,This is able to span both genres in a way that Hollywood hasn't managed to accomplish.,BpfVC0CwYb1EoEMMSOVQ,BpfVC0CwYb1EoEMMSOVQ
52,"The plot was interesting and the acting by Anne Parillaud was exceptional.I had seen the American remake, called ""Point of No Return"" and found it to be an OK movie, but I wanted to see the original.",21igELrrKgXZLDxQi5NjLkT6pCc2E8EnLnUAYwA=,DUnBVx8uD+j3PF3aoBbGAfkn8p50wt0bSgcqQQA=
53,I am glad that I did.The technical aspects of direction and editing are very good.,RifavaEEfSj5wpqVsRwA,BkPk8omdp10rdcb6EB0A
54,The plot was interesting - revolving around the timeless theme of redemption.,Nrxpg7SARFrDigI5zA==,BbnBVx8zU0Ob8AMUbA==
55,"The acting made this an exceptional movie.For fans of the action genre, they will be quite happy.",3Gv5BjxzIEPDsC10VmlCwJBGtwA=,CMmMLeb1+o9QfWVAh0ocAvJ+ZQA=
56,For those like myself who are more interested in character and plot-driven movies may find this to be a pleasant surprise as well.,tWE4hjB1pUFdZNTY72v3QJA=,B6y5JcPuQ3GvmnrFq5ZHuJA=
57,La Femme Nikita (1990) was a great movie from genre director Luc Besson.,BhWgkTR+AImlnC+9RIg=,BhWgkTR+AImlnC+9RIg=
58,The story is about a drugged out young woman (Anne Parillund) who's hung out with the wrong crowd one too many times.,CRnnWdK5q+FS0Gg8FAEC9IA2+cg=,CRnnWdK5q+FS0Gg8FAEC9IA2+cg=
59,"During a botched drug store robbery and subsequent shoot out with the police, NIkita is the only survivor.",lDtEgkmKJ+uxAV3DbZAdApYA,B9WtUSAsFqR6e+1vJjnQLMiA
60,"She's tried, sentenced and executed.",csUh4tT2EKAI,A6QVBrg1Ld3Q
61,"But, she wakes up in a strange room and greeted by a quiet and subdued individual (Tcheky Kayro) he tells her that she's been given a second chance at life.",+yc7oq0pQUOmURcwYIcBj6fnR0mrACGVrs+2q0KB3A==,DrSox1N6spjH4VtJC42Kxf7RGjxkvFXjLEtBtaJ0kA==
62,But will she do what needs to be done in order for her to receive.,hOBAUkaTOxGkT5/A,BOSk9rAjGAmt4n2A
63,Will Nikita take this opportunity at a second life or will she throw it all away?,Jp0CxaqEQMQfJccIBXbFDwA=,B06o+3dQVa/mhPlf+5JRWQA=
64,Watch LA FEMME NIKITA to find out.The always imitated by never properly duplicated chic thriller has become a fixture in pop culture.,+gT6MYjxURTXt4rZw3oZjYZ5CE4AaIwvQkFjMPPNwkA=,DwaIL8SmPTiBVM7h7Cb5bbwoMEEwHfolGUTL7EHHYqA=
65,Not only was this film remade several times but it also spawned an unrelated television series.,BWpCTJJDWwILG22swA==,BWpCTJJDWwILG22swA==
66,Anne Parillund is super hot in her role as Nikita.,JxkiYpEILIPAoq+gyTsy,BrQofev1cKmqKIyA9DaW
67,Watch out for Luc Besson regular Jean Reno as Victor the Cleaner.Highly recommended.,yegBIE5uYrOYDVXKB9wxoAbsoC2A,CXaIRMLMRlTn2WdPwO4yVDTWXvkA
68,"Luc Besson has been behind some of the most provocative and intriguing action films of the last 15 years, and his introduction to mainstream American cinema-goers began with 1991's ""La Femme Nikita.""",CwQ0ygbUUUozpdwhmh3HTuTTRAjqGUAQ,CwQ0ygbUUUozpdwhmh3HTuTTRAjqGUAQ
69,"Beginning with a drug store shootout that leaves three junkie punkers and a few policemen dead, this film is rapidly engaging and shows off Besson's violent chic.",2RqiEg4H8bK+kjwW9xEF35A8lMKNvpEEfsOSa+I0FgA=,DvIBL8pqwVvY9jJs3dM7L3UFHA4lt4pQW5qWEwH2m6A=
70,"In the fray, only young Nikita (Anne Parillaud) survives, after offing a policeman who had let his guard down at a crucial moment.",uIHcZbDNqwk6f+RMCySAifPA1SmAUg6U0DA=,DA0tfzNe+juHD5ADPl6Sn0gd/FtoJ9FkgsA=
71,"Facing certain death in France's court of law, she is given two choices: lethal injection, or have her execution faked, and then assume a new life as a female super-assassin/spy.",egqqEMp6mIHQICiDWNZoij4RBf4FxYx/40vGzeDjOFA=,DwD/50gP2xoiEi7sGKX5NhcOiYiPqOKisF570MBS9oA=
72,"A wild-raised feral child of sorts, Nikita had picked up certain skills on the street that eventually prove to be quite valuable to her government handlers, as she makes things difficult for them and especially her chief mentor Bob (Tcheky Karyo).",zkRLsjMtN3MdSSj/CI8CCkd2RZ5TxxZ+AA14pEgmIA==,DqABqRG29bLZL2Nfm1hpcopzq7QdT3pWmls1dTnReA==
73,"No secret is made of his affections for her, but he tries to mold Nikita into a valuable person, and he's able to do it with the help of another agent, played by actress Jeanne Moreau, who teaches her the finer ways of womanhood.",GLNKWBtAzK6qf4qHJKEBzNb8njMpijkPoiiUZgg0Pdg=,DyJzkBJ/dzTMVQz6OMH+iJtXFCIxDC4Kw88YRA/YKWw=
74,"By the end of her training, Nikita has been modeled into a fine, sexy female assassin.",RxCKLxEUHM9kGU5NQ4QAIkA=,B2bkaYmM0dJAGMJr/EAAIEA=
75,"Besson makes no attempts to sacrifice his film in the ways of Hollywood convention, and he proves that the days of female-driven action cinema are not yet dead.",TLIM77gMaSkY3Gs2pzw0ETkZxJrDUT4II7JA,DHVZeDu3GKMqe9ZTntEmdlzUjF8wVHmRMLnA
76,"Parillaud is compelling, as at first, she almost seems unaware of her identity as a woman.",CEMmhdZqyVCifHWFESbAIJg1AA==,CEMmhdZqyVCifHWFESbAIJg1AA==
77,"When she isn't taking out high-powered political officials, she's romancing a kind and gentle shop clerk, who falls madly in love with her as she does with him.",DCWSNAejOlZVSeYKm7nFaaJ9cTKtdIDjuAg=,DCWSNAejOlZVSeYKm7nFaaJ9cTKtdIDjuAg=
78,"Lastly, ""La Femme Nikita"" has some of the most stylized and violent action scenes of any movie I've seen in a while.",tVOWkgXB5iGDVyiCTVLXiKA=,B4X/g0jQTLIaYW1uMCo3ogA=
79,"Luc Besson, with this film and much of his subsequent work, has proved he is one of cinema's most valuable personalities on the European, Asian, and American action film circuits.",C4Q0ygDNmautEDQ617VAyH6KmuQKZPACQA==,C4Q0ygDNmautEDQ617VAyH6KmuQKZPACQA==
80,"Also, be aware of a cameo by future Besson ""Leon"" (1994) star Jean Reno as Victor the Cleaner, in what is pretty much an early prototype of his role from that star-making breakthrough film.8/10",bDqNSGUIqtlVEDZnkCmXRo5wk5E7PmyK+lvFEjhAuIQ=,DzsVD3M5udbWgrlHMxDidVi0A3YD8gWt6SQQRvCgNpI=
81,"This isn't the worst comedy of all-time, but that is about the best thing that I can say about this pathetic film.",hrEtNsIFL1htDTRlM6F2,BrearG5rRBxxfEgtHr/I
82,"I didn't laugh once, or even smile once during this bomb.",NjiEBc1jrIfIntMAIA==,BXP5nseo9Z3z705mQA==
83,"There was usually something going on on-screen, so I didn't get TOO bored, but most of the jokes here were simply awful.",CUoq7CXw6ZwqgiLFmFrjkPQxZlQA,CUoq7CXw6ZwqgiLFmFrjkPQxZlQA
84,The final sequence is nothing more than a long series of people falling through doors and stumbling all over the place.,lKDCnckpLeRw5qBUhgBKUg==,BzhErdwSJJzDh0cgJCRXyg==
85,"Needless to say, it was a fitting way to end a movie that was impossible for me to like.",NpWJ14fRhkAGQEuWcA==,BYc+0VEr+szJ/5cvsA==
86,"A lot of people criticize this movie as just being too dumb, but I'm just saying, give this movie a chance.",BrAtFgiRwxiWYBy64CKc,BrAtFgiRwxiWYBy64CKc
87,"It may not be the best film ever made, but at least it has clever gags in it and also includes a very young John Candy.",CKNCOS+scqSXFijHOcZIzLBkUA==,CKNCOS+scqSXFijHOcZIzLBkUA==
88,"I saw clips of the movie on the internet and I was amazed on how they were funny, especially the scene when Candy unintentionally almost destroys the entire police station while trying to find a pencil or when he hilariously fails his shooting test in the gun range.",zjDYZKFEBwBMdKkViKlAqqlF5Tv3XosME4buepCdoQA=,DtPbMTBhdxE/otwmDAXYpdt0YBwoN0uLmTUZqCA8WwA=
89,"Since this movie was barely released in the U.S., you may want to track down a copy of it before it disappears completely.",Bs2lwE6AJkMRQR21aOc/AA==,Bs2lwE6AJkMRQR21aOc/AA==
90,"Also look for Peter Cook, Mickey Rooney, and Dick Emery, in what was to be his last film role, in the cast, as well.",n8FQiKI52ZYTeRJDNM/wJCikfEoWqEA=,CosUGycJmINhMNNRdgNcm1RsO7esnOA=
91,"Before John Candy was really famous, he starred in this rather silly Canadian movie about a series of kidnappings.",x9kQAE8TXqKNrBTATJTbHgw=,B6SGpM1Gpg4DeNb0nqkIBuQ=
92,"He plays police officer Kopek, investigating the kidnappings and getting into a bunch of loopy situations along the way.",CYTT3+wRZsMeLAHNUszFoufQJgiA,CYTT3+wRZsMeLAHNUszFoufQJgiA
93,"The only other cast member whom I recognized was Mickey Rooney, playing a trigger-happy hit-man named Trigger (although apparently, Peter Cook also starred).Overall, ""Find the Lady"" is nothing special, mostly a series of gags, but it's pretty fun, especially the end scene.",GL2A6wNm52EV51yIJ0C3hUYKVfjdS90BaNrARYQ3HcA=,DykAsgJEukHmumjwOn8lBnvzmVCWcpYBsJN/hvgl6Xw=
94,I guess that you could say that it backs up what Michael Moore always says: Canada is the greatest place on earth.,R1HDnAqBZE0ipLxla83s2A==,ByP8WZO6yMExv0jr1qeVgA==
95,Groucho are Carmen Miranda are Marvooolussss together.,Clw0LIIMB3RQFYO9ggh1c7CEScV80wA=,Clw0LIIMB3RQFYO9ggh1c7CEScV80wA=
96,What a great combination and beauty and the beast.,BOEmwHlySL5QbXWA,BOEmwHlySL5QbXWA
97,"The movie has it all, cheesey musicals, goofy love scenes and Groucho's one liners.",HIW1AICzOOKEwVMAwiNpXX1XWgA=,CPkmAP8iL0MHfmIAg8JOaamabAA=
98,Buy it if you are a Groucho fan.,EhGNmGoe5g1CQA==,A+EJEEwUu/Z8QA==
99,"In New York City, Lionel Q. Devereaux (Groucho Marx) and his fiancée Carmen Novarro (Carmen Miranda) are unsuccessfully trying to find a spot in the show business.",Db1eAFrYHN/ckCVQgwChkl6RgC46pAFKqpT4SbA=,Db1eAFrYHN/ckCVQgwChkl6RgC46pAFKqpT4SbA=
100,"Lionel introduces himself to Steve Hunt (Steve Cochran), who owns the famous Copacabana nightclub, as an important agent and convinces Steve to see the presentation of Carmen.",znoucghkMWUFAqGXzthlG16SRnYkVFsFFOFBcL8SqA==,Dp2CCKrq2JmNywZFtHBXOrxB3lCYQYb0w1uWPCLfoA==
101,He enjoys the show and asks for another attraction; Lionel convinces Carmen to wear a veil and perform another song and introduces her to Steve as the French singer Mademoiselle Fifi.,bAm4CTpGcLldUIbC0grADfoyMADVZyw8DVFh52PozTA=,DwTS2a16lgELD6javDRESs5wzMwsEvXGyM30atHDPUA=
102,Steve hires both singers and Carmen has to change clothes and identities between her performances.,nfTFbxFzDGas3FgCIU0hahnGsLQA,CVHXnYPeKZKlzaJeYBYoZHUOLvaA
103,"When she sees Lionel flirting with a Copa Girl, Mlle.",9LkYgR6KHhfCRCy6iEo9wA==,BuWSJAPrEvcxkQt2xxnkAA==
104,"Fifi accepts the invitation to have dinner with Steve, hurting the feelings of his secretary Anne Stuart (Gloria Jean) that is in love with him.",rh7UYk1EQWrSxZqI6L2YiRC9tsx6DMoauNQUpgA=,DUD6LYnZjfrt6V4BIbrw+xEg5+h1L3I6pbWlIgA=
105,The situation gets complicated and Carmen simulates an argument with Mlle.,JmrjwDxpAp0xUYKZRQfgu+A=,B4jWVWUhV06UQf3hBAZ/YyA=
106,"Fifi with her subsequent disappearance, originating an investigation of the police where the prime suspect is Lionel.",inqK14oK9H+YkMCpyaggxxNAwdrMx4A=,CnD6LaetWSa+Lu5HjiYGwdKSU4lFggA=
107,"""Copacabana"" is a delightfully naive and entertaining movie from a time when the society was extremely innocent and could buy such ingenuous story.",TGrWaPqC/GriEWODiTJ4ZlITh0FmpfpmsBBw,DKDb1aCKWfW5ifxH9lcI6N/tUmcX2H29ZncA
108,"The plot, i.e., the double-identity of Carmen Miranda, is totally absurd but the situation of Lionel after the disappearance of Mlle.",jBXYmq5RGgCAeZwszgjtkuSkdVbKaDayMPg=,DBnBW/Wkvr4+R9v3OTHcTqoOey3nj7kLO8A=
109,"Fifi was remade by Billy August in 1963 in ""Irma La Douce"".",3QCCx6qOk0DaCMIL46QF7HKwriQA,CWD6LZoWNk6sgSdMsac3e+5pKRKA
110,"Groucho Marx is funny and responsible for the best moments of this movie; but the subplots with the silly romance of Anne and Steve, and the participation of the weird singer Andy Russell should be better written.",jxMoGCfaDGucXsA/NKko/E4pMSElxrFi1yJGspSVPnA=,Dxw0LAvR3bYqdLSLvxY+woyllLWQVueFUnA2hBCFu8g=
111,"The songs are boring and dated in 2009, but Carmen Miranda was very successful in those years and sings the famous ""Tico-Tico no Fubá"".",7TUK3flCTiAKFRglAr7UHkRmBsBSCxjNokqDDWiFQA==,DnhGEsEAHKgUOEoUCAVpHLxjOxN9mqNkabxKcnjWYA==
112,"My vote is seven.Title (Brazil): ""Copacabana""",FdHEVImxjqQGQS4Taxwg,Bp6HmPEhCzgEfjQdshfA
113,"The eyebrow-wagging Lionel Q. Deveraux (Groucho Marx) is tired of dragging down the career of his fiancée, Carmen Novarro (Carmen Miranda), as the untalented half of their nightclub act and quits to become her agent.",DxiDVHUH8hPamjfU3YpQ6DpkRSwpgIkZLwQzAKctRTg=,DxiDVHUH8hPamjfU3YpQ6DpkRSwpgIkZLwQzAKctRTg=
114,His powers of persuasion soon get the Brazilian singer a job as a featured performer at the Copacabana - twice over.,iifgSFd0Rx1m0M4BKkDm8mA4hrgQKA==,Ci3NhdKm4fyaSoSFr+8J+5ujJZ2NpA==
115,She is forced to do double duty as herself and as Mlle.,JBUTFB1GBfFMfKlGAA==,BUQWurEH+z7wZd74AA==
116,"Fifi, a veil-covered Parisian chanteuse.",10xER4xCwDyNGrrmhoA=,BdD6LaLW6vyTjo3+OQA=
117,"The owner of the Copacabana, Steve Hunt (Steve Cochran), insists on romancing Mlle.",idDsvZYuD0gGAigY5J84Ij52wKAEAA==,Cdk1iB4wP3dxc1tDpzgAIhxqqgoOAA==
118,"Fifi, much to the frustration of Deveraux, who has already staked his claim to Carmen.",HJCHO3MjHZNcyhEgqJyXB5y0TIA=,COD6LaI96R2Xc+HAzxcaBRcniMA=
119,"Also frustrated is Anne Stuart (Gloria Jean), Steve's dutiful secretary, who is secretly in love with her boss.",6AlN8OE2FgVoGIck8iEU3ZWXARRuIA==,CgsUh838XnhsZsqLBCJVyKU6ZGsRwA==
120,"Another Copacabana singer, Andy Russell (himself), plays Cupid.An irritatingly stupid script, poor production values and almost no good lines for Groucho spoil this slight musical comedy.",bCJSgVnuIip4+DQ3qkWOohQxsxGWSiOTWKBQAjW6HIw=,DyXjws1Y8lK0cktxMeUIApOucaRXjyRT3VURE6t/5Eg=
121,"Andy Russell, who can sing but can't act, cancels himself out.",Bma1HDhRMV6gSxSSauFA,Bma1HDhRMV6gSxSSauFA
122,"Carmen Miranda fans may want to skip over everything except her numbers, which are good.",lEEp8EixIvAhFdRJ9uxXxaA=,B4ZI6JhGetrk/ZoUsAedG9A=
123,"Groucho fans may want to skip this altogether, unless they want to laugh at the awfulness of it all and imagine the sarcastic quipster delivering a scathing commentary track.",WioM2TKMeEaHlQBiAE5Kgq4KaViywBAKy7vZwA==,DPw0LO3VAHzJgeGmZhUhEhVZ01qLw93RlGvToA==
124,"While I prefer Groucho's humor the most amongst all three Marx brothers, it's just not the same without Chico and Harpo for Groucho to play off of.",uOLJbIE+qJLY7iAD5cs1H73eI1ACTih5oaAA,DFqbXfbmFfAaILkij37KF68VjsINnaIchHuA
125,"I had never seen Carmen Miranda in action, though I had long known of her being a performer with kooky hats.",SBryVtYg2CatyIcJ2wTDnAS4UA==,CJPOvQZEkTXy5umQ1mLtSIx/qA==
126,"Now that I've seen her on screen, I think she comes across as a cross between Marlene Dietrich and Charo - a surprisingly fun mix.",KzyQbLLlC8gm7rRWioDgj1qEwv8A,CWXq2j2ECaAtjcUSCKp/WR36VzPA
127,"She's actually a good foil for Groucho, so I think it's the screenplay that doesn't play to their full potentials.",K6EQPR/PEJlcjjasUCULNVYBcAttAA==,CdQVZBmmv0uwp8dwQC6jxEf+wAkkAA==
128,"It's still a fairly charming movie, with Carmen taking on the role of two different stage performers and Groucho providing zingers.",C4N9QTY0sc0ErClF5ASwsgd+kIiZjmBrMA==,C4N9QTY0sc0ErClF5ASwsgd+kIiZjmBrMA==
129,"After reading the positive comments here and seeing the 1 star rating on my digital cable guide, I decided to give it a chance (plus, I'm a big Alan Arkin fan after seeing him in 'Catch-22', 'Glengarry Glen Ross', and 'Little Murders').",DuDn5fgEEYwxp/IQyBFtWTFG2y9DjlISgWnQS8YdLEA=,DuDn5fgEEYwxp/IQyBFtWTFG2y9DjlISgWnQS8YdLEA=
130,And I have to say that it's not as bad as it's made out to be.,A5CmUyIPKJ2A,A5CmUyIPKJ2A
131,It's actually really really funny--if you have a certain sense of humor.,loxCQsEVwzETmNjA,BPNw842U6TcqOqog
132,I was dying with laughter during the scene where Arkin and Rob Reiner started fighting on the father's bed--on top of the father!,KScIGFicKz1RMRytyZJBSxOHn6MdFY1WowA=,C9P1SuCwI87rwU9xoehUXBYGGdaxRKRHfAA=
133,"There were other good scenes: the kids throwing the rocks through the windows, Arkin approaching the basketball player on the court, the crazy Jewish mother throughout the whole movie, ""Keep Out Putz!""",TgSKkT7GsUCuBG62Lankd1QEI5bcYnXheEYbGWjXLYA=,DuooED0XzZk92fGs45Dq2vu/3nHAZDaJ5iRe9ghSDUA=
134,written on the office door and the scene with the comatose dad and the insurance guys.,nMXmCkEM0HEHAaREk4Wsh14/cA==,CI41xkew0I6LdbI1KC7mHHeiAA==
135,I could go on because I really liked this movie.,wxLWEnDEUBg=,AyP4UK+YuoA=
136,"The only thing that kinda bugged was Rob Reiner's attacks, but eh.",JptAwjm430UXzQmDh1BlkgA=,B0kA/WHKTFFGW/Sp+RUuFwA=
137,What are you gonna do?I think that you have to enjoy a certain type of humor to find this movie funny.,PwHERxN0kEdtiY9bUEaaEbNQ,CAE1N+SGs1HHPqLbTK8lTbHg
138,"During the whole thing I found myself drawing parallels to my favorite sitcom, Arrested Development.",BcWsDnqeozCD6JPjYAA=,BcWsDnqeozCD6JPjYAA=
139,Crazy dysfunctional family?Check.,EhVgSNEXkUMoAA==,A+ZAcJ4a4YIwAA==
140,Adopting a kid of a completely different race for personal gain?,JcR5dEMCwUti3GTg,BPrLkFao/vbXGtDA
141,Check.Buring down a business for money?,FRAxiB1lRkivUBr/QkA=,Bh/e8BZGe481n+yqfHg=
142,Check.(Episode 2 of Season 1--Top Banana!),1fdCLIgXuXRkCJoVixFQAA==,Bs/dO6Ig3p0dEv/KYvXkAA==
143,Multiple story lines that culminate into one big finale?,JUCPzhIMNEE2GgA=,BFXzDUKlb6vH4oA=
